1,2,3,4,5,6,7,8,9
2.49,2.25,2.18,2.87,2.51,2.80,2.24,2.33,2.51
2.36,2.05,2.23,2.60,2.37,2.78,2.34,2.46,2.50
2.41,2.12,2.27,2.71,2.37,3.05,2.40,2.55,2.57
