#[A],[g]
I,m
-0.1,-0.35
-0.3,-0.45
-0.5,-0.6
-0.7,-0.7
-0.9,-0.95
-1.1,-1.06
-1.3,-1.35
-1.5,-1.47
-1.7,-1.61
-1.9,-1.61
-2.1,-1.93
-2.3,-2.16
-2.5,-2.29
-2.7,-2.4
-2.9,-2.64
